EV Model,Capacity
MG MG4 Urban Premium Long Range,52.8
Renault 4 E-Tech 52kWh 150hp,52.0
Renault 5 E-Tech 52kWh 150hp,52.0
Nissan Micra Extended Range 52 kWh,52.0
Volkswagen ID.3 Pure,52.0
Volkswagen ID.4 Pure,52.0
Volkswagen ID.5 Pure,52.0
Škoda Elroq 50,52.0
Alpine A290 Electric 180 hp,52.0
Alpine A290 Electric 220 hp,52.0
Jeep Avenger Electric,50.8
Alfa Romeo Junior Elettrica 54 kWh,50.8
Alfa Romeo Junior Elettrica 54 kWh Veloce,50.8
Opel Corsa Electric 54 kWh,50.8
Peugeot e-208 54 kWh,50.8
Lancia Ypsilon 54 kWh,50.8
Fiat 600e,50.8
Lancia Ypsilon 54 kWh HF,50.8
Peugeot e-2008 54 kWh,50.8
MG MG4 Electric 51 kWh,50.8
Citroën ë-C4 54 kWh,50.8
Citroën ë-C4 X 54 kWh,50.8
Opel Mokka Electric,50.8
Opel Mokka Electric GSE,50.8
Abarth 600e Turismo,50.8
Abarth 600e Scorpionissima,50.8
DS Automobiles DS 3 E-Tense,50.8
Citroën ë-Berlingo M 50 kWh,50.0
Citroën ë-Berlingo XL 50 kWh,50.0
Opel Combo Electric 50 kWh,50.0
Opel Combo Electric XL 50 kWh,50.0
Peugeot e-Rifter M 50 kWh,50.0
Peugeot e-Rifter XL 50 kWh,50.0
Toyota Proace City Verso L1 50 kWh,50.0
Toyota Proace City Verso L2 50 kWh,50.0
Hyundai IONIQ 6 Standard Range 2WD,50.0
TOGG T10X Standard Range RWD,50.0
TOGG T10F Standard Range RWD,50.0
Mini Aceman SE,49.2
Mini Cooper SE,49.2
Mini Cooper JCW,49.2
Mini Aceman JCW,49.2
Volvo EX30 Single Motor,49.0
Zeekr X Core RWD,49.0
Volvo EX30 P3,49.0
Volvo EX30 P5,49.0
Hyundai Kona Electric 48.6 kWh,48.6
Kia PV5 Passenger 51.5 kWh,48.0
Toyota Urban Cruiser 48.8 kWh,47.8
Suzuki e VITARA 49 kWh 2WD,47.8
MG MGS5 EV 49 kWh,47.1
Smart #3 Pro,47.0
Smart #1 Pure,47.0
Smart #1 Pro,47.0
Opel Corsa Electric 50 kWh,46.3
Peugeot e-208 50 kWh,46.3
Citroën ë-SpaceTourer M 50 kWh,46.3
Citroën ë-SpaceTourer XL 50 kWh,46.3
Peugeot e-Traveller L2 50 kWh,46.3
Peugeot e-Traveller L3 50 kWh,46.3
Opel Zafira Electric 50 kWh,46.3
Opel Zafira Electric XL 50 kWh,46.3
Toyota Proace Verso M 50 kWh,46.3
Citroën ë-C4,46.3
Citroën ë-C4 X,46.3
Hyundai INSTER Long Range,46.0
GWM ORA 03 48 kWh,45.4
BYD ATTO 2,45.1
Nissan Townstar EV Passenger L2,45.0
Mercedes-Benz EQT 200 Standard,45.0
Mercedes-Benz EQT 200 Long,45.0
Nissan Townstar EV Passenger,45.0
Citroën ë-C3 Aircross Comfort Range 44 kWh,43.8
Opel Frontera Electric 44 kWh,43.8
Fiat Grande Panda,43.8
Citroën ë-C3 Standard Range 44 kWh,43.8
Ford Puma Gen-E,43.6
Ford e-Tourneo Courier,43.6
BYD DOLPHIN SURF 43.2 kWh Boost,43.2
BYD DOLPHIN SURF 43.2 kWh Comfort,43.2
MG MG4 Urban Comfort Standard Range,41.9
firefly firefly,41.2
Renault 4 E-Tech 40kWh 120hp,40.0
Renault 5 E-Tech 40kWh 95hp,40.0
Renault 5 E-Tech 40kWh 120hp,40.0
Nissan Micra Standard Range 40 kWh,40.0
Dongfeng Box 42.3 kWh,40.0
Hyundai INSTER Standard Range,39.0
Mini Aceman E,38.5
Fiat 500e Hatchback 42 kWh,37.3
Fiat 500e 3+1 42 kWh,37.3
Abarth 500e Hatchback,37.3
Abarth 500e Convertible,37.3
Fiat 500e Cabrio 42 kWh,37.3
Mini Cooper E,36.6
Leapmotor T03,36.0
BYD DOLPHIN SURF 30 kWh Active,30.0
Citroën ë-C3 Urban Range 30 kWh,29.8
Dongfeng Box 31.4 kWh,29.0
Renault Twingo E-Tech 27.5 kWh,27.5
Dacia Spring Electric 70,24.0
Dacia Spring Electric 100,24.0
Fiat 500e Hatchback 24 kWh,21.3
Fiat 500e Cabrio 24 kWh,21.3
